,question,answer
10,101 4567 782 8038 7965 704 7392 974 3289 833 4617 1359 1408 8043 102,101 7965 704 7392 974 3289 679 833 4617 1359 511 7965 704 7392 974 3289 712 6206 3221 4507 7965 1912 839 8024 5852 1075 679 5679 510 5593 3416 860 5503 1920 2193 5636 4638 7965 704 7392 1355 5509 2460 2382 8024 2772 7965 5579 7965 4977 4638 5514 4606 8024 6890 837 1728 5162 3295 2193 5636 4638 7965 704 7392 5310 3354 4638 3121 1359 511 1963 3362 679 1350 3198 3780 4545 8024 1377 2193 5636 1461 1429 6887 2697 3381 510 5455 7885 510 2476 1366 1461 1429 1469 7028 1420 510 1498 1590 4578 2772 2460 4289 2697 510 7883 5541 5023 2400 1355 4568 4307 511 4680 1184 2213 3313 1355 4385 2100 1762 4617 1359 1377 5543 511 102
11,101 4567 782 8038 704 2552 2595 3841 3890 2595 5549 5317 5606 6228 5381 5606 4567 1359 1908 6402 7557 4761 102,101 2190 754 1914 3144 4567 782 8024 2418 3680 127 172 129 1453 3466 3389 671 3613 8024 6225 2175 6228 1213 1350 4706 2419 4638 1359 1265 8024 4684 5635 4567 1359 5632 4197 3867 1927 511 5735 4568 4307 679 3171 1217 7028 8024 2418 1350 3198 1908 6402 511 102
12,101 4567 782 8038 1359 2595 2595 6818 6228 4638 4706 2419 2938 2154 6402 3171 1333 1156 102,101 1278 4495 833 6418 7309 2642 5442 6228 1213 678 7360 510 6228 4289 1359 2501 5023 4568 4307 1139 4385 4638 3198 7313 809 1350 4567 2658 4638 1359 1265 8024 1398 3198 6418 7309 2642 5442 3188 2518 4638 6228 1213 2658 1105 510 3300 3187 4706 6956 4565 4567 510 3300 3187 7770 2428 6818 6228 2157 3184 1380 5023 928 2622 8024 5310 1394 2642 5442 4638 707 2414 6134 4385 809 1350 4706 2419 5786 1045 6117 5052 6863 2512 510 100 100 7471 5344 6117 5052 6863 2512 510 4706 4413 6631 1898 3466 3389 5023 4685 1068 3466 3389 5310 3362 5341 1394 976 1139 6402 3171 511 102
13,101 4567 782 8038 100 7755 679 4937 2137 5790 4289 3780 4545 102,101 2190 754 4567 2658 6772 6768 510 2867 5318 2797 3318 2772 3300 4881 2555 4568 4638 2642 5442 8024 1377 6407 6121 5500 1724 1928 5491 5298 739 510 7361 1169 1872 1217 100 7755 1068 5688 5016 1394 4638 6817 1220 510 5338 2372 924 2844 2772 1461 1429 924 2844 5023 511 1398 3198 2190 754 7755 1068 5688 4563 4578 698 7028 4638 2642 5442 8024 1377 6844 2496 2418 4500 7478 4515 860 3867 4142 3632 4578 5790 8024 1963 7350 1385 1276 3360 510 2357 3821 5705 5023 511 102
14,101 4567 782 8038 784 720 5790 1343 5498 4125 8043 102,101 5498 4125 2214 2226 4680 6619 510 3211 2584 510 1928 4578 510 5516 4578 510 1366 5736 5023 4568 4307 511 1377 4507 5498 1927 4541 3786 510 3698 6944 1265 4125 2772 5498 4178 5162 4670 5023 2471 6629 511 4500 5790 2418 3418 2945 4568 4307 6796 6395 1146 3358 8024 1147 1257 4683 4680 4500 5790 511 2382 4500 1343 5498 4125 4638 5790 4289 3300 8038 122 8024 3926 3786 5498 4125 5790 8038 809 7987 5519 5770 510 7471 7950 510 1909 3369 5770 5023 711 712 6206 2768 1146 511 4500 754 5498 4125 3200 4670 2792 5636 4638 1928 4578 510 4700 3238 510 5455 5465 5455 7885 5023 511 7370 3926 5498 4125 8024 3300 4638 5790 4289 6820 1072 3300 5498 5519 3969 4178 4638 868 4500 511 2382 4500 4638 704 2768 5790 3300 7987 5519 3811 5498 709 510 2496 2495 7987 5780 709 5023 511 886 4500 3198 3800 2692 3302 5790 1177 7030 8024 5735 5790 7030 1922 7028 1156 2159 3211 4178 1343 2170 4495 8024 1728 3634 886 4500 722 1184 671 2137 6206 1486 6418 1278 2360 8024 6474 102
15,101 4567 782 8038 2626 2595 7770 6117 1327 2595 2207 1220 5549 2595 5513 4801 1265 4685 1068 5790 1501 102,101 4799 3249 7165 510 4799 7000 4491 3779 510 7478 6437 1914 3803 510 2861 6564 3821 2209 510 723 2861 1765 2209 510 2225 1305 1765 2398 510 898 6929 3249 1164 510 6090 1079 6994 510 3710 5738 6079 1578 102
16,101 4567 782 8038 1317 2338 2626 2595 5592 5606 7313 4649 4606 4495 3833 5052 4415 102,101 122 510 2642 5442 2970 1358 3780 4545 1400 833 3300 671 3667 5994 2483 3309 8024 2157 2247 2418 711 2642 5442 2990 897 5653 6844 3946 3265 4638 2233 857 4384 1862 8024 6912 1048 2692 1912 2697 1088 5023 4638 1355 4495 511 123 510 4567 2658 2612 1908 3309 7313 2642 5442 2418 3800 2692 828 2622 8024 924 6395 1041 6639 4638 4717 4697 8024 6912 1048 6814 2428 1227 5168 8024 914 6822 3322 860 2612 1908 511 684 1762 3318 1400 5635 2208 1288 2399 3198 7313 1079 8024 3800 2692 6912 1048 6822 6121 1217 7028 5592 1327 4638 1220 868 8024 679 5543 2990 7028 4289 511 124 510 2642 5442 2418 6844 2496 6822 6121 860 5509 7248 4159 8024 1872 2487 860 6574 8024 2990 7770 3322 860 1048 4554 1213 511 3318 1400 2642 5442 1377 6905 1278 1671 678 2414 3833 1220 511 125 510 3800 2692 702 782 1310 4495 8024 1075 2768 5679 1962 4638 1310 4495 739 2679 8024 1249 3819 2797 510 3819 4074 8024 3680 1921 4500 3946 3717 3926 3819 1912 7346 8024 679 2553 886 4500 4900 102
17,101 4567 782 8038 4706 1146 3789 4289 7305 6402 2900 2519 102,101 122 510 4706 1146 3789 4289 1872 1914 8024 7945 4932 2772 1439 5555 2595 8039 123 510 845 2898 5330 2772 1353 1908 4706 4573 510 4706 2397 510 2460 4289 2697 510 4173 4133 2697 510 4519 1045 510 3837 3801 510 4706 4578 510 6228 4289 3563 5128 5023 4706 6956 4568 4307 8039 124 510 845 4706 4635 1355 5273 510 4706 5273 5514 510 2229 6956 5514 1779 510 4706 4713 678 4009 3796 5023 4706 6956 860 2519 8039 125 510 845 4706 1453 687 4562 510 3717 4557 510 5564 2244 510 5134 4162 5023 4649 5502 2938 2154 8039 126 510 4542 849 2970 6239 7391 2501 4706 7262 510 886 4500 3173 5790 1501 2772 1265 1966 1501 1400 1139 4385 4638 6814 3130 1353 2418 8039 127 510 4294 3654 2108 5688 1353 1908 1355 868 8039 128 510 1139 4385 1071 2124 698 7028 510 2898 5330 2772 6822 2245 2595 4568 4307 860 2519 511 809 677 1772 7557 1350 3198 2218 1278 1486 6418 511 102
18,101 4567 782 8038 2593 2595 5499 5517 4142 4500 5790 8043 102,101 2593 2595 5517 5499 4142 1315 5517 5499 6887 7945 5606 1355 4495 4638 2593 2595 4142 4568 2938 839 8024 2642 5442 1377 3300 2626 2552 1445 1402 510 3867 1265 679 5679 510 5592 5515 510 5592 3811 5023 7478 4294 2460 2595 4568 4307 511 3780 4545 2593 2595 5499 5517 4142 4638 5790 4289 3300 8038 122 8024 5517 7945 5606 924 2844 1177 8038 6421 5102 5790 4289 1377 1872 2487 5517 7945 5606 2242 7397 1216 5543 8024 1872 1217 5517 7945 5606 2850 2834 5517 7000 1469 5517 6028 4635 6998 4638 868 4500 511 2382 4500 4638 1963 4800 5131 7199 510 5885 5564 4767 5023 511 1398 3198 2642 5442 7444 6206 3800 2692 4800 5131 7199 2418 1762 7623 1184 122 2207 3198 4958 5592 3302 4500 8024 2400 684 6912 1048 680 2834 7000 5790 1350 2829 1169 5517 7000 1146 3789 4638 5790 4289 1394 4500 511 123 8024 3632 3811 5790 8038 5592 3811 3221 2382 6224 4568 4307 8024 3821 1509 672 5542 3632 3811 868 4500 2571 510 2487 510 2898 719 8024 679 5679 1353 2418 6772 2208 102
19,101 4567 782 8038 7608 5052 7851 4307 5301 5528 4617 6760 4919 2595 102,101 122 510 4684 2970 2810 3141 3193 704 3309 7608 5052 4617 712 6206 711 1880 1079 2810 3141 8024 1728 7608 5052 3187 3841 5606 2231 8024 2159 3211 4684 2970 909 4306 1071 707 6818 1690 2135 511 123 510 3900 2349 6760 4919 3221 7608 5052 4617 6760 4919 4638 712 6206 3175 2466 511 124 510 6117 6121 6760 4919 3241 3309 1377 6858 6814 6117 6121 6760 4919 5635 5498 510 5511 510 5513 510 5513 677 5593 510 5554 5023 1905 511 102
20,101 4567 782 8038 1366 5579 4617 4568 4307 2600 6835 102,101 3971 4550 510 5134 4162 510 4635 3157 1350 3840 6134 5514 4289 5023 2229 6956 2460 2382 3121 1359 8024 845 3300 2772 679 845 3300 2229 6956 4563 4578 3221 1366 5579 4617 4638 2382 6224 4568 4307 1350 860 2519 511 738 3300 6956 1146 2642 5442 7674 1044 3221 809 7568 6956 5514 1920 3900 2349 5310 5445 2218 1278 4638 8024 7390 4708 5514 4606 4638 1355 2245 8024 1963 5649 3918 6956 5491 5489 4638 1358 909 8024 1156 1377 1139 4385 1411 1498 1737 7410 1469 1355 7509 1737 7410 8024 6956 1146 2642 5442 1377 5543 1139 4385 5455 4293 2816 4578 511 102
21,101 4567 782 8038 3172 2548 1520 2209 3040 5341 1394 2519 7305 6402 2900 2519 102,101 2496 4306 5389 4638 6158 2154 5442 2190 754 1217 2154 5442 772 4495 1398 2658 510 6371 1398 510 898 6609 510 1962 2697 3198 8024 2418 1350 3198 2218 1278 511 102
22,101 4567 782 8038 6783 2228 5052 5310 4767 4565 4567 2137 721 102,101 6783 2228 5052 5310 4767 8020 163 8358 8457 8315 8850 11097 10086 8169 8021 2247 754 677 2228 6662 5310 4767 8024 5318 1920 1914 3341 5632 754 5513 5310 4767 2961 1057 6783 2228 5052 8024 2400 977 4522 1762 4325 4962 855 5390 8020 1963 6783 2228 5052 5513 4655 6825 2970 1905 510 6783 2228 5052 6659 6632 7762 6117 5052 1905 1469 6783 2228 5052 5598 5537 6825 2970 1905 8021 511 6783 2228 5052 3221 2228 3890 4638 6858 6887 8024 2124 4638 1216 5543 3221 2828 5513 5552 2501 2768 4638 2228 3890 8024 6858 6814 6783 2228 5052 837 6843 1168 5598 5537 8024 4197 1400 2961 1139 860 1912 511 6783 2228 5052 5310 4767 1914 711 1296 904 1355 868 8024 2382 809 5587 2772 677 5592 6956 1196 4164 4563 4578 510 6117 2228 711 712 6206 707 2414 6134 4385 511 3780 4545 712 6206 1259 2886 5790 4289 3780 4545 510 860 1912 1103 1140 3797 4810 4767 3318 510 6783 2228 5052 7262 1357 4767 3318 5023 511 102
23,101 4567 782 8038 5299 5302 5301 5528 1872 3658 4568 7650 7608 6444 4415 102,101 2642 5442 7650 7608 2139 3926 3909 8024 1377 809 1914 1391 671 763 2168 1419 831 6574 6028 4635 6574 510 5335 4495 5162 510 3211 3867 1265 4638 7608 4289 8024 1914 1391 3173 7831 3717 3362 1469 5922 5831 511 102
24,101 1355 4567 6956 855 8038 4508 4307 5593 4685 1068 2595 4706 4567 102,101 4706 117 4508 4307 5593 102
25,101 4567 782 8038 1199 4281 4576 1333 1728 102,101 2915 1959 782 5310 5688 4567 3681 113 10551 10758 8196 112 161 8275 11202 8268 10138 10051 114 2247 1199 4281 4576 4567 3681 5299 8024 1762 4510 2094 3227 2544 7262 678 8024 2501 2578 510 5310 3354 1398 5399 4576 4567 3681 4685 1398 511 1439 1749 3393 2501 8024 3314 4999 4960 8024 3417 2552 711 671 5636 2166 4638 100 511 1453 1741 5312 809 2160 7333 4638 6132 1900 8024 1920 2207 711 8468 118 8209 8278 8024 3634 4567 3681 1762 4281 4638 745 1928 1350 745 2791 6863 2768 6768 2544 2697 3381 8024 2207 4281 1529 745 3198 1429 1422 745 1928 8024 2471 6629 1366 5579 3971 4550 8024 680 4281 687 4562 2595 1366 5579 4142 4567 3681 2471 6629 4638 3971 4550 5102 849 8024 3300 3198 3187 3209 3227 4568 4307 8024 3300 3198 4568 4307 1282 1146 698 7028 511 2915 1959 782 5310 5688 4567 3681 680 4281 687 4562 2595 1366 5579 4142 4567 3681 2247 1398 4905 4567 3681 4638 679 1398 762 1798 8024 102
26,101 4567 782 8038 2207 3475 3688 1881 4567 3221 1415 1278 924 102,101 6956 1146 5790 4289 510 5450 3332 510 6402 3780 7555 4680 1762 1278 924 2845 7218 5745 1741 8024 1072 860 2845 7218 3683 891 6435 1486 6418 2496 1765 1278 7368 1278 924 704 2552 511 102
27,101 712 6206 4567 1728 8038 7308 2096 4548 102,101 712 6206 680 7770 7977 510 3867 4607 510 1914 772 5023 1728 5162 4685 1068 102
28,101 4567 782 8038 100 1798 5513 2207 5052 2595 7000 704 3681 7564 7344 102,101 1333 1355 2595 100 1963 5543 2533 1168 3193 3309 6402 3171 1469 3780 4545 8024 886 100 118 124 5335 2898 1762 3633 2382 3717 2398 8024 7000 704 3681 2130 1059 5272 3633 8024 707 2414 4568 4307 1377 3867 1927 8024 4495 7270 1355 5509 754 123 2399 1079 6809 1168 3633 2382 3403 1114 8024 7564 1400 6772 1962 8024 1963 6402 3171 3198 2347 3300 5513 7159 1265 8024 1156 1914 6890 4522 5513 1216 5543 7397 4809 511 102
29,101 4567 782 8038 4280 7571 4535 2501 1071 800 3466 3389 102,101 1278 4495 6820 1377 5543 6848 2885 4280 8020 4280 1394 8021 3563 1798 6822 6121 3466 3389 8024 1278 4495 1377 5543 833 6375 2642 5442 1490 683 689 4638 1690 1072 8024 4197 1400 1169 868 3563 1798 511 1377 809 5815 2533 2642 5442 4280 510 4280 3553 510 7979 7570 3765 5023 5310 3354 4638 1114 4802 2658 1105 511 102
30,101 4567 782 8038 5511 3895 5106 3416 1359 2595 7564 7344 2974 3177 102,101 809 678 2974 3177 1377 809 7360 856 3315 4567 4638 1355 4495 7599 7372 8038 122 510 2770 4170 511 123 510 4916 3353 3780 4545 1333 1355 4567 511 124 510 3189 2382 3800 2692 924 3265 8024 1912 1139 877 2785 1366 5388 511 102
31,101 837 3381 3975 8038 5541 6956 7350 5101 2349 4567 102,101 7350 5101 2349 4567 2642 5442 1350 3187 4568 4307 2961 1259 1718 5442 511 102
32,101 4567 782 8038 772 1400 2829 6944 671 5663 833 2898 5330 1914 719 8043 102,101 772 1400 2829 6944 4638 2642 5442 6858 2382 833 754 122 2399 1079 3780 2689 8024 3353 2208 3144 2642 5442 1377 2898 5330 122 2399 809 677 511 1086 3613 1969 2027 1908 1355 4372 5276 8113 110 511 102
33,101 4567 782 8038 5607 1912 5436 1333 1728 102,101 6863 2768 100 1798 5597 4638 712 6206 1333 1728 3300 676 4905 8024 671 4905 3221 2207 1036 4638 869 983 4567 8024 671 4905 3221 1044 1921 4638 6890 837 8024 1369 1912 6820 3300 671 2208 6956 1146 3221 1728 711 6763 7755 1355 5509 7397 4809 510 1912 839 510 7755 2835 5023 2471 6629 4638 1400 6890 4568 511 6821 4905 5597 6956 4638 4535 2501 679 788 2512 1510 2501 680 978 5401 8024 2190 754 782 860 978 2434 738 3300 6772 1920 4638 2512 1510 8024 5607 1912 5436 2772 1079 5436 6963 4788 1776 749 5607 1068 5688 4638 3633 2382 1213 4638 1146 2357 8024 886 1068 5688 671 904 2792 1358 4638 2418 1213 1872 1920 8024 2190 904 4685 2190 1121 2208 8024 1398 3198 4507 754 678 5501 1213 5296 4638 3121 1359 8024 100 7755 510 5500 7755 722 7313 4638 3040 3092 1872 1217 511 6821 3416 3198 7313 671 7270 8024 6820 833 2471 6629 5607 1068 5688 6121 6624 3198 4563 4578 8024 1068 5688 4638 3833 1220 738 1358 1168 2512 1510 8024 2159 3211 2193 5636 7755 5607 1068 5688 4142 102
34,101 4567 782 8038 7347 1355 2595 4717 4697 2595 6117 5273 6028 4635 2228 4568 7564 6369 3466 3389 102,101 6858 2382 3315 4567 809 2141 7741 2147 3466 3389 711 712 8024 1278 4495 2382 6848 2885 6117 2382 6226 510 7755 7767 3466 3389 510 2228 3890 1146 3358 809 1350 6117 3890 4495 1265 3466 3389 749 6237 2642 5442 3221 1415 2100 1762 2460 2382 2900 3403 809 1350 698 7028 4923 2428 8024 6820 833 6858 6814 6402 3171 2595 6407 7741 711 6402 3171 976 3118 3053 8024 1963 7000 1265 6117 3926 3988 6117 6407 7741 510 5131 3717 3988 6117 6407 7741 510 6026 3681 1728 2094 3988 6117 6407 7741 510 6133 860 3988 6117 3130 2697 6407 7741 510 3837 2466 5301 5528 3318 3466 3844 100 1469 100 510 5786 1045 3403 6381 4638 1359 2460 860 8020 100 8021 3466 3844 5023 511 5301 5528 6890 837 2110 3466 3389 3300 1221 754 2376 1221 6402 3171 511 102
35,101 4567 782 8038 7942 5682 5489 5715 5514 2595 5513 4655 5513 4142 1962 1355 782 5408 102,101 3315 4567 818 862 2399 7977 6963 1377 1355 4567 8024 3297 2382 6224 8145 12681 8129 2259 8024 1957 1914 754 4511 8024 2215 809 8114 11864 8129 2259 1957 2595 1914 1355 8024 680 1957 2595 3211 1355 4495 3789 2228 5143 2697 3381 3300 1068 511 102
36,101 4567 782 8038 2164 4495 6001 1965 2682 1314 2154 2595 102,101 3315 4567 833 2193 5636 2642 5442 1353 1908 2831 2912 4649 5502 510 6843 3403 3315 3466 3389 8024 2938 2154 2642 5442 4649 5502 510 2512 1510 2642 5442 3633 2382 4495 3833 8024 1963 679 1350 3198 3780 4545 1377 5543 2193 5636 4649 5502 4605 4575 510 5682 5162 3756 4708 5023 2658 1105 1139 4385 511 102
37,101 4567 782 8038 1908 3175 5399 6235 4275 4565 4567 102,101 7565 1079 1304 855 2595 4567 1359 2471 6629 4638 1928 4578 8039 4868 5307 2595 1928 4578 8039 1912 839 1400 1928 4578 102
38,101 4567 782 8038 678 5587 3491 679 4937 4568 7650 7608 2456 6379 102,101 122 510 809 3926 3909 2159 3211 3867 1265 4638 711 712 8024 924 6395 1041 6639 4638 5852 1075 511 123 510 809 1419 7159 510 6028 4635 6574 510 5335 4495 5162 100 3184 510 5335 4495 5162 100 1469 5335 4495 5162 100 7770 4638 7608 4289 711 712 8024 1963 7824 5102 510 4896 5102 510 4281 1959 510 6486 5102 5023 8024 6821 763 4289 6574 679 788 5543 5314 2642 5442 6133 1041 6639 1916 4638 5852 1075 8024 6820 1377 809 914 6822 7755 7761 1469 5491 5489 4638 3173 7357 807 6468 8024 2454 5353 704 5439 2399 782 5408 7755 1068 5688 4638 6842 6121 2595 3121 1359 8024 1164 754 4567 2658 2612 1908 511 2642 5442 4294 1166 3221 5439 2399 2642 5442 7444 6206 3800 2692 1914 1346 1217 2787 1912 6817 1220 8024 1914 3235 1922 7345 8024 3300 1164 754 7159 4638 1429 3119 511 124 510 704 5439 2399 782 2100 1762 679 1398 4923 2428 4638 3867 1265 1216 5543 1121 6842 8024 5499 6107 1220 1121 2714 8024 1914 7650 3717 8024 1914 7608 5922 102
39,101 2382 6224 4568 4307 8038 2714 2595 1184 1154 5593 4142 102,101 7755 4658 1277 1818 4563 4578 510 2228 2593 510 2228 7574 510 2228 4578 510 1915 2228 1872 1914 102
40,101 4567 782 8038 2207 1036 969 2595 4508 4307 3178 5593 1216 5543 1121 856 4568 4568 4307 102,101 2958 7755 1469 6652 7755 4764 510 7471 2399 4635 1079 7397 510 2460 2382 4765 2207 510 4495 7270 5353 2714 510 3255 1213 1355 5509 6826 5353 510 856 7159 6117 4568 510 807 6631 510 4822 2595 4840 7000 6998 1872 7770 102
41,101 1962 1355 782 5408 8038 7608 5052 7945 5606 2938 839 102,101 1962 1355 754 704 7471 2399 782 5408 511 102
42,101 4567 782 8038 7568 3491 4567 2797 7937 1391 784 720 5790 8043 102,101 7568 3491 4567 4507 754 7568 3491 3491 7313 4669 6842 1359 8024 1173 4080 1469 1327 6833 7568 3491 1453 1741 4638 5299 5302 1963 4868 5307 3418 510 5550 7767 510 3491 1220 5549 5023 8024 794 5445 2471 6629 2797 7937 510 7568 6956 4563 4578 5023 679 6844 511 3780 4545 2382 4500 4638 5790 4289 1259 2886 8038 122 8024 5852 1075 4868 5307 5790 4289 8038 3634 5102 5790 4289 1377 809 6629 1168 924 2844 1469 5852 1075 4868 5307 8024 914 6822 4868 5307 1216 5543 2612 1908 8024 5353 6237 2797 7937 4638 868 4500 511 2382 4500 5335 4495 5162 100 510 4508 7180 5542 510 5593 5740 7180 5542 5023 511 123 8024 7478 4515 860 5102 2834 4142 5790 8038 2382 4500 2357 3821 5705 510 1352 3714 5705 7000 7165 510 1853 3341 3212 2357 5023 511 1377 5353 6237 2229 6956 4868 5307 2938 839 2595 4142 4568 8024 794 5445 3121 1587 679 6844 4568 4307 511 124 8024 5491 5489 3351 2474 5790 8038 679 788 1377 3300 3126 5353 6237 5491 5489 4570 2908 2471 6629 4638 2229 102
